100,3.5562,1.032,71.1,0.786
150,2.3364,1.012,103.4,0.758
200,1.7458,1.007,132.5,0.737
250,1.3947,1.006,159.6,0.72
300,1.1614,1.007,184.6,0.707
350,0.995,1.009,208.2,0.7
400,0.8711,1.014,230.1,0.69
450,0.774,1.021,250.7,0.686
500,0.6964,1.03,270.1,0.684
550,0.6329,1.04,288.4,0.683
600,0.5804,1.051,305.8,0.685
650,0.5356,1.063,322.5,0.69
700,0.4975,1.075,338.8,0.695
750,0.4643,1.087,354.6,0.702
800,0.4354,1.099,369.8,0.709
850,0.4097,1.11,384.3,0.716
900,0.3868,1.121,398.1,0.72
950,0.3666,1.131,411.3,0.723
1000,0.3482,1.141,424.4,0.726
1100,0.3166,1.159,449,0.728
1200,0.2902,1.175,473,0.728
1300,0.2679,1.189,496,0.719
1400,0.2488,1.207,530,0.703
1500,0.2322,1.23,557,0.685
1600,0.2177,1.248,584,0.688
1700,0.2049,1.267,611,0.685
1800,0.1935,1.286,637,0.683
1900,0.1833,1.307,663,0.677
2000,0.1741,1.337,689,0.672
2100,0.1658,1.372,715,0.667
2200,0.1582,1.417,740,0.655
2300,0.1513,1.478,766,0.647
2400,0.1448,1.558,792,0.63
2500,0.1389,1.665,818,0.613
3000,0.1135,2.726,955,0.536
