273,899.1,1.796,385,4280,147,0.91,47000,0.7
280,895.3,1.827,217,2430,144,0.88,27500,0.7
290,890,1.868,99.9,1120,145,0.872,12900,0.7
300,884.1,1.909,48.6,550,145,0.859,6400,0.7
310,877.9,1.951,25.3,288,145,0.847,3400,0.7
320,871.8,1.993,14.1,161,143,0.823,1965,0.7
330,865.8,2.035,8.36,96.6,141,0.8,1205,0.7
340,859.9,2.076,5.31,61.7,139,0.779,793,0.7
350,853.9,2.118,3.56,41.7,138,0.763,546,0.7
360,847.8,2.161,2.52,29.7,138,0.753,395,0.7
370,841.8,2.206,1.86,22,137,0.738,300,0.7
380,836,2.25,1.41,16.9,136,0.723,233,0.7
390,830.6,2.294,1.1,13.3,135,0.709,187,0.7
400,825.1,2.337,0.874,10.6,134,0.695,152,0.7
410,818.9,2.381,0.698,8.52,133,0.682,125,0.7
420,812.1,2.427,0.564,6.94,133,0.675,103,0.7
430,806.5,2.471,0.47,5.83,132,0.662,88,0.7
